1,Association of Computing Machinery ,Academic,100000,,Virgie,Skillman,671-858-2918,,vhiddy1u@prlog.org,TRUE
2,Asian Cultural Association,Cultural & Identity Based,100000,,Connor,Skillman,840-990-8543,,crobathon22@com.com,TRUE
3,Active Minds,Peer Support,100000,,Shaine,Skillman,166-406-3530,,sfessions1w@gmpg.org,TRUE
4,Association of Black Collegians,Cultural & Identity Based,100000,,Virgie,Skillman,671-858-2918,,vhiddy1u@prlog.org,TRUE
5,Girl Up Lafayette,Peer Support,100000,,Connor,Skillman,840-990-8543,,crobathon22@com.com,TRUE
6,Hispanic Societ of Lafayette,Cultural & Identity Based,100000,,Shaine,Skillman,166-406-3530,,sfessions1w@gmpg.org,TRUE
7,International Students Association,Cultural & Identity Based,100000,,Virgie,Skillman,671-858-2918,,vhiddy1u@prlog.org,TRUE
8,Kaleidoscope,Student Organizations,100000,,Connor,Skillman,840-990-8543,,crobathon22@com.com,TRUE
9,Lafayette Activites Forum,Special Interest,100000,,Shaine,Skillman,166-406-3530,,sfessions1w@gmpg.org,TRUE
10,Lafayette College Photography Club,Student Organizations,100000,,Virgie,Skillman,671-858-2918,,vhiddy1u@prlog.org,TRUE
11,Lafayette College Student Government,Special Interest,100000,,Connor,Skillman,840-990-8543,,crobathon22@com.com,TRUE
12,Lafayette Juggling Club,Recreation & Leisure,100000,,Shaine,Skillman,166-406-3530,,sfessions1w@gmpg.org,TRUE
13,Lafayette Ourdoors Society,Recreation & Club Sports,100000,,Virgie,Skillman,671-858-2918,,vhiddy1u@prlog.org,TRUE
14,The Lafayette Happiness Project,Student Organizations,100000,,Connor,Skillman,840-990-8543,,crobathon22@com.com,TRUE
15,Women in Computing ,Peer Support,100000,,Shaine,Skillman,166-406-3530,,sfessions1w@gmpg.org,TRUE
