LNum,FName,MName,LName,ClassTitle,GradYear,Email,PhoneNum,Address,ResidenceHallID,RoomID,DOB,EnrollmentStatus,POBox,FERPA,SSN,PreferredName,MealPlan,Notes,EmployeeID,ExcelStudent
902790090,Cati,,Yanov,1,2029,kyanov0@psu.edu,916-188-6301,4 Anderson Point,19,413,1999-12-29,913393773848969,,true,1790436317,Kaleena,9,143288461429004,400,false
982669844,Berk,,Zanetto,2,2020,azanetto1@scientificamerican.com,557-879-7911,68184 Dakota Trail,6,243,2012-05-19,374902949211191,,true,4588953558,,12,383773083181824,,false
937603415,Alden,,Brockhurst,3,2021,gbrockhurst2@ovh.net,622-761-2167,9 Kim Point,11,265,2004-03-07,862751624935209,,false,9736683119,,11,464728675063683,,true
947045506,Flinn,,Jaskiewicz,4,2029,cjaskiewicz3@latimes.com,894-161-7748,487 Tennyson Avenue,1,340,2006-05-02,657409008046446,9977,true,,Curt,2,293546317648272,612,false
900000152,Fonzie,Zachery,Eymor,5,2024,aeymor4@illinois.edu,338-462-7989,75 Londonderry Circle,16,775,2002-03-11,220183801496789,,true,,,19,108326618642418,,false
963772465,George,Annemarie,Dovidian,6,2025,bdovidian5@alexa.com,861-194-0270,750 Valley Edge Hill,13,620,2009-10-02,311875043863540,9983,true,,,18,356167275410101,,false
924091993,Erny,,Lewins,7,2026,clewins6@livejournal.com,313-508-1358,0950 Elka Pass,11,979,2011-11-18,728375534608404,9784,true,2060502577,,3,573245299014031,,false
938847517,Patricia,Joe,Mapes,8,2028,jmapes7@canalblog.com,879-504-0802,614 Dapin Trail,19,935,2010-12-16,816582092034917,9329,true,4742688670,,1,308239949763913,,false
942852910,Dacie,,Mustchin,9,2027,omustchin8@liveinternet.ru,324-578-8240,941 Carey Plaza,2,645,2002-12-10,449706254106327,9087,true,7296735019,,3,162852015168500,,true
924278119,Jade,,Inkles,10,2024,sinkles9@ed.gov,540-964-1664,44 Spenser Pass,2,647,2002-05-22,032792726720353,9257,true,,,17,000535234296882,,false
937764870,Kristi,,Pimblott,11,2031,npimblotta@dot.gov,805-308-4782,2 Village Parkway,4,808,2006-12-01,412220749985920,9302,true,,Nolana,7,572066159769574,323,true
914746361,Carny,,Presswell,12,2030,epresswellb@guardian.co.uk,359-875-4167,9030 Morrow Circle,10,348,2002-05-29,160601237724554,9615,false,8307539602,,5,892003879238557,,true
920034122,Karlis,Darice,Ramelot,13,2031,pramelotc@liveinternet.ru,926-527-7603,2 Arizona Way,18,692,2008-01-17,064186901135525,9655,false,7637163916,,12,671714100370930,,true
956816031,Angeline,Lars,Cullum,14,2026,pcullumd@instagram.com,953-159-8207,3758 Gulseth Terrace,17,586,2008-08-28,185792467286855,,false,,,12,109705525388142,,true
999790689,Hakeem,Fancy,Gerrell,15,2023,bgerrelle@wufoo.com,415-295-3653,6728 Sycamore Court,17,130,2000-08-18,849308921287138,,true,9615329944,Babita,20,364184781721535,736,false
928470932,Flemming,,Axelbey,16,2021,aaxelbeyf@cocolog-nifty.com,908-850-9556,05152 Toban Crossing,9,86,2010-10-26,114316759212265,,false,1301955631,,20,528663638282550,,true
974721175,Joseph,,Aarons,17,2023,jaaronsg@fda.gov,757-998-2839,53 Crest Line Avenue,20,448,1999-11-26,560960931558295,9208,false,,,11,185201959564172,,true
918472571,Robenia,Mathias,Potbury,18,2030,epotburyh@toplist.cz,711-365-6900,30680 Crownhardt Court,12,238,2003-04-18,083422547316582,9985,false,2948768014,,15,234294738832472,,true
957901661,Harmonie,Morgen,Carlone,19,2026,jcarlonei@narod.ru,409-498-4637,5 Sachs Junction,17,88,2000-11-16,866298137773577,9020,true,6677680215,Jerry,2,001254707429341,247,true
980448298,Joline,,Brownjohn,20,2024,cbrownjohnj@flickr.com,232-412-3332,995 Granby Circle,8,529,2010-05-29,648978143179165,9919,false,6451378624,,23,011981575189765,,true
961393140,Neron,Jarrett,Pierton,21,2029,wpiertonk@macromedia.com,239-839-0261,940 International Alley,16,250,2004-01-02,272856048840041,9123,true,4345520969,,10,455306391603582,,false
925157467,Jaclin,Arlinda,Hancox,22,2020,khancoxl@unesco.org,184-244-2610,69798 Redwing Junction,13,269,2002-01-14,721585505227200,9176,false,6338454338,,24,475220098847581,,false
902213103,Jillayne,,Unitt,23,2025,munittm@youtube.com,693-436-6728,8909 Arapahoe Court,1,929,2012-03-30,878447811841346,,true,2155981786,,12,698755169216086,,true
998908116,Brier,,Brumble,24,2022,cbrumblen@columbia.edu,112-755-7395,09378 Mosinee Road,18,971,2003-10-06,511415236376155,9100,false,1786797457,Cornelle,6,687782660152954,388,true
942015816,Selinda,,Bartlam,25,2023,cbartlamo@businesswire.com,545-413-9155,3986 Talisman Plaza,2,558,2004-10-19,133771606158239,9702,false,,,15,072354755447382,,true
966429126,Ruby,,Harkess,26,2023,mharkessp@princeton.edu,882-998-0676,62236 Loomis Circle,17,249,2010-04-03,028823749427344,,true,,,7,347558639718357,,true
987394514,Bud,,Gouch,27,2027,cgouchq@is.gd,972-553-1003,62 Porter Parkway,9,480,2011-08-05,377632743394269,,false,3351114795,Candis,15,602124817066721,698,false
943408346,Remington,,Ayrton,28,2027,hayrtonr@marketwatch.com,534-652-5593,62 Eastwood Terrace,8,57,2007-08-10,533656394683905,,true,,,9,784279429863710,,true
983492645,Ekaterina,Read,Dumblton,29,2026,adumbltons@cocolog-nifty.com,991-517-3843,81017 Susan Parkway,16,525,2002-07-20,564425563847173,9900,false,,Abbey,24,217724857326701,993,true
907980693,Shandee,Pamella,Berford,30,2023,eberfordt@google.de,532-468-0045,333 Maryland Street,2,923,2005-07-30,335268811527623,9966,false,5435394516,,22,566652908055167,,true
946423539,Jaquenette,Chip,Richarson,31,2021,jricharsonu@skyrock.com,304-106-3625,4143 Ruskin Center,19,77,2012-01-21,594021079845051,9095,true,1795405540,Jorge,1,704058778289469,92,false
948663130,Angil,Dilan,Magrane,32,2020,mmagranev@furl.net,314-157-0826,2661 Brickson Park Trail,3,600,2005-10-10,522601992747787,9056,false,8011537868,,9,989787514937067,,true
960487630,Emmalee,,Ledram,33,2030,mledramw@weibo.com,808-639-6740,1930 Maryland Trail,16,286,2007-03-04,191081213371974,9474,true,6044783667,,8,797341467033383,,true
984462809,Arden,Reba,Moulden,34,2026,pmouldenx@cisco.com,829-205-4094,7 American Terrace,1,259,2009-01-12,453418488744298,9297,false,3448240275,Pippy,3,498474319985080,593,false
960150283,Bobbee,Abe,Frangione,35,2021,jfrangioney@globo.com,654-737-2488,91 Homewood Alley,17,118,2000-05-25,016728501657725,9452,false,2360375564,Johan,15,371820893535738,920,false
980904590,Marsiella,,Vaune,36,2030,gvaunez@google.pl,803-845-7085,27 Moland Crossing,9,351,2004-02-16,411611867403507,9264,true,,,13,998745953038733,,true
953272034,Daphne,,Friberg,37,2022,mfriberg10@craigslist.org,661-565-7699,41 Canary Street,5,472,2008-07-07,376418994095695,9453,false,,,2,143443200599465,,false
982177974,Park,,Lishmund,38,2028,blishmund11@wunderground.com,841-633-7769,66260 Kennedy Court,2,681,2000-06-09,858562274716539,9501,false,3124493479,,6,334494834849099,,false
999961014,Ahmed,Candra,Wright,39,2026,awright12@wsj.com,303-434-9471,68198 Anzinger Avenue,10,438,2008-07-13,065857267463630,9926,false,,,17,557522625519559,,false
912199858,Karil,,Pourveer,40,2026,ipourveer13@topsy.com,917-790-7003,772 Jay Point,11,971,2012-04-04,384841061323911,9950,false,2540497413,,16,141414541647050,,false
910681855,Aura,Aggie,Rushforth,41,2029,mrushforth14@delicious.com,116-514-5957,823 Merry Court,6,751,2003-04-26,096605828155276,9102,true,,Martina,17,200799976856153,965,false
995161875,Lonnie,,Swinfon,42,2020,tswinfon15@patch.com,429-155-0353,36 Petterle Circle,11,81,2009-05-03,642516854119228,9307,false,,,2,294687119604256,,false
915426807,Bathsheba,,Oswald,43,2025,joswald16@washingtonpost.com,496-976-9203,3 Jenifer Point,20,24,2001-03-07,488827588608844,,false,,,2,460663160192894,,false
962688178,Ana,Nickolas,Ajam,44,2031,majam17@artisteer.com,694-331-5401,39453 Valley Edge Circle,12,610,1999-04-09,310781350220857,9093,true,8457311176,,9,893019711011049,,false
981309037,Xenia,Heriberto,Lynett,45,2028,tlynett18@ocn.ne.jp,781-455-9254,2 Westridge Alley,14,680,2012-10-10,096413630195165,9951,false,9057862654,,2,553743852039305,,false
953728786,Erinna,Victoir,Vercruysse,46,2023,tvercruysse19@cbsnews.com,995-112-1217,74259 Jenifer Junction,18,316,2001-05-06,507978484496138,,false,6215853729,,4,235649555631690,,false
900852088,Ethelbert,Craggie,Longea,47,2027,olongea1a@springer.com,227-343-1390,44053 Lighthouse Bay Junction,11,32,2004-01-19,931773060585682,9474,true,9157485268,,16,677679816485835,,true
963499037,Tina,Hilary,Zieme,48,2026,lzieme1b@geocities.jp,898-972-1495,652 Golf Point,4,60,2009-07-26,185705246526317,9739,false,,Lorenzo,20,254070554081831,958,true
981273118,Joice,Dory,Levine,49,2029,nlevine1c@artisteer.com,686-492-8180,400 Summit Crossing,6,64,2008-03-23,764970432109516,,false,4312493132,,4,067092267827220,,false
960674102,Meridel,,Capponeer,50,2021,tcapponeer1d@booking.com,483-137-3200,6 Lighthouse Bay Lane,1,573,2003-10-25,655381952695875,9896,true,9055419723,,24,991737684286280,,false
932235495,Rosina,,Whitebread,51,2025,swhitebread1e@cloudflare.com,230-873-1882,12206 Oneill Road,16,132,1999-07-17,091171500586358,,false,,,5,045278983132617,,true
949383854,Baxie,Augustin,Birch,52,2028,rbirch1f@typepad.com,612-339-1852,60310 Riverside Trail,11,722,2004-04-11,516364838423725,,false,4970857794,,14,339217038916019,,true
996705747,Robinia,,McClune,53,2029,amcclune1g@zdnet.com,827-804-7264,67091 Buena Vista Avenue,1,182,2001-09-03,441653984923939,9481,true,3540629720,,19,960302935201317,,true
961156251,Gaven,,Folkerd,54,2027,jfolkerd1h@google.nl,777-467-2006,48 Spaight Road,8,331,2008-04-02,053508116246665,9400,true,,Josias,16,378311163192866,172,true
978833246,Samara,Dynah,Dimont,55,2031,tdimont1i@google.com.au,634-179-1579,541 Hudson Lane,14,881,1999-07-08,801468315170974,9763,true,5990016530,Tatiania,10,662442927029044,918,true
971195877,Austina,,Biskupiak,56,2021,tbiskupiak1j@delicious.com,780-578-3102,612 Aberg Road,20,546,2002-06-20,192513206869436,9199,true,2919470017,Trenton,13,191199593255147,619,false
971705883,Briney,,Watkiss,57,2028,awatkiss1k@deliciousdays.com,175-159-8626,1652 Annamark Place,16,20,2005-05-28,421030769085036,9781,true,2077613270,,7,352072094995920,,true
902886912,Norine,Clifford,Kleanthous,58,2028,ckleanthous1l@house.gov,440-562-6386,960 Crownhardt Drive,14,22,2005-07-06,204430960826821,,true,6358124869,,4,074266893041912,,true
