LNum,FName,MName,LName,ClassTitle,GradYear,Email,PhoneNum,Address,ResidenceHallID,RoomID,DOB,EnrollmentStatus,POBox,FERPA,SSN,PreferredName,MealPlan,Notes,EmployeeID,ExcelStudent
9785929283,Celesta,,Lockie,Junior,2010,klockie0@rediff.com,183-258-9666,2514 Harper Crossing,10,3,2/4/1997,deferred,3806,false,,,14,,,false
9854559284,Ham,Erminie,Thurston,Senior,2001,bthurston1@spiegel.de,645-552-7381,11 Kipling Plaza,3,35,6/6/1994,dropped,3061,false,2736694858,,24,,,false
9608016777,Cordey,,Digges,Senior,2012,edigges2@lulu.com,910-393-8907,9 Manufacturers Junction,4,27,1/23/1996,active,5046,false,,,24,lol,,false
9476657863,Fowler,Claudian,Hodinton,Freshman,2015,shodinton3@tamu.edu,898-486-7020,77 Caliangt Alley,10,21,5/11/1993,transfered,3757,true,2399302794,,24,,,true
9294793834,Danya,Gisela,Raven,Senior,2001,kraven4@g.co,476-882-4269,880 Burning Wood Crossing,10,16,2/12/1997,abroad,3526,false,6705185288,,14,,,false
9410257449,Grace,,Briddle,Senior,2010,mbriddle5@npr.org,815-953-0720,5 Cardinal Point,7,23,8/11/1993,abroad,7536,false,,,14,,,false
9028099788,Rustin,Findlay,Champe,Freshman,2006,ochampe6@ameblo.jp,314-708-9684,0032 Bayside Plaza,6,29,9/5/1990,dropped,3667,true,6919850221,Othilia,7,,7,false
9366912017,Kalvin,Tabbie,Kleinsinger,Freshman,2019,akleinsinger7@blogspot.com,316-771-9987,76706 Independence Place,4,20,1/10/1995,active,2959,true,6084045937,,24,,,true
9260545056,Bogart,Leicester,Gartland,Junior,2012,dgartland8@wikimedia.org,721-226-0464,97583 Browning Court,9,13,10/6/1993,transfered,5171,false,6233684908,,14,lol,,false
9290123634,Flint,,Lottrington,Senior,2017,rlottrington9@goo.gl,261-118-8202,46329 Waubesa Junction,7,12,12/19/1991,transfered,5378,true,,,14,,,true
9026806708,Rachelle,Ami,Cammidge,Sophomore,2007,bcammidgea@tumblr.com,881-586-3055,20925 Warner Plaza,7,36,7/3/1991,abroad,3091,true,6488266205,,14,,,true
9150752212,Oralia,,Bertelsen,Junior,2000,rbertelsenb@ft.com,485-692-5427,4435 Fairfield Junction,7,6,11/10/1989,deferred,7912,true,,,24,,,true
9307903064,Stefania,,Gornar,Freshman,2000,fgornarc@mtv.com,323-489-4583,7058 1st Parkway,8,25,3/9/1995,active,6910,true,,,24,,,false
9678517703,Bartholomeus,Puff,Morman,Sophomore,2004,nmormand@china.com.cn,220-371-5554,6 Spohn Lane,7,32,8/8/1995,abroad,9046,false,4702798138,Nicolette,24,,14,false
9991785642,Rex,Emmery,Donne,Freshman,2010,kdonnee@over-blog.com,827-709-9291,4063 Sunbrook Court,6,20,11/11/1989,dropped,4095,false,8819398899,Kaye,14,lol,15,false
9461939536,Bill,Bengt,Spensly,Junior,2004,aspenslyf@cisco.com,304-150-8705,519 Hauk Pass,6,8,8/13/1994,active,5046,false,4525979543,,14,,,true
9660451224,Dorotea,,Lydiard,Sophomore,2007,mlydiardg@msu.edu,576-461-5660,9 Dorton Center,7,34,7/11/1993,deferred,4420,false,,,14,,,true
9742170515,Elvin,,Issacoff,Freshman,2006,gissacoffh@yellowpages.com,960-307-9405,3 Fuller Avenue,8,20,3/15/1994,active,5988,false,,,7,,,true
9951329009,Hailey,Toby,Kelsell,Sophomore,2014,rkelselli@dot.gov,707-470-2355,863 Helena Terrace,2,8,9/26/1993,deferred,8024,true,8298583420,,14,,,false
9097791735,Karie,Merry,Demchen,Sophomore,2007,rdemchenj@ted.com,518-520-1699,16 Doe Crossing Pass,9,11,10/25/1988,transfered,2955,false,3017279827,,24,,,false
9759058547,Bobina,Lizette,Geator,Freshman,2010,wgeatork@biglobe.ne.jp,614-172-1556,023 Hermina Pass,10,34,6/16/1989,transfered,6077,false,2986050551,,24,,,true
9342115865,Bevvy,Syman,Abramovic,Freshman,2015,rabramovicl@cdbaby.com,722-976-2774,632 Bartillon Junction,5,37,8/30/1991,transfered,2843,false,2580927953,,14,,,false
9558158794,Brandise,,Carnier,Senior,2002,ccarnierm@google.com.au,793-424-8384,759 Melvin Parkway,8,36,6/14/1990,transfered,8514,false,,,14,,,false
9655808060,Marwin,Shandeigh,Severy,Sophomore,2017,gseveryn@quantcast.com,675-160-2799,2543 Esch Road,3,26,10/3/1988,deferred,8345,true,6404326981,,7,,,false
9215688026,Katheryn,Harmonia,Conklin,Sophomore,2019,econklino@nps.gov,426-644-5108,50670 Village Green Place,9,38,9/8/1990,transfered,7628,true,7104118007,,14,,,false
9029636743,Jerri,Evangelin,Menpes,Sophomore,2002,cmenpesp@ocn.ne.jp,452-243-2725,30555 Rigney Pass,4,36,9/7/1994,active,6722,false,8695090661,,14,,,false
9805457269,Jasper,Diann,Aleshintsev,Freshman,2015,saleshintsevq@dropbox.com,179-164-0217,7 High Crossing Park,5,23,1/8/1988,transfered,6362,true,2612846835,,24,,,true
9009181000,Ertha,Margaretta,Poncet,Freshman,2015,jponcetr@yahoo.co.jp,749-697-6525,98363 Buhler Plaza,6,39,4/27/1993,deferred,1170,false,3048865946,Joyan,7,,28,false
9318178113,Pamella,Filippa,Benedick,Sophomore,2012,kbenedicks@odnoklassniki.ru,130-356-4352,95168 Lotheville Center,1,33,1/11/1995,dropped,9519,false,6510374766,,14,,,false
9362092092,Elijah,Bondie,Extill,Sophomore,2014,lextillt@vimeo.com,622-914-4392,84397 Sunbrook Terrace,2,12,12/29/1992,transfered,2259,true,2987807912,,14,,,false
9246742364,Aluin,Murielle,Purbrick,Junior,2008,lpurbricku@jiathis.com,573-859-6266,0 Spohn Park,1,12,8/17/1989,transfered,7113,false,5311086849,Leopold,14,,31,true
9840838625,Ulrikaumeko,Davis,Cruikshanks,Sophomore,2019,gcruikshanksv@instagram.com,677-659-5844,478 Gina Hill,9,32,10/30/1996,deferred,3663,false,4677009919,,24,lol,,true
9091793285,Garrick,,Gavini,Sophomore,2010,cgaviniw@topsy.com,687-537-0295,38827 Prairie Rose Way,2,17,8/17/1993,abroad,8989,true,,,7,,,false
9737290650,Fanni,Renard,Licciardo,Freshman,2001,slicciardox@unesco.org,505-320-4226,2746 Evergreen Crossing,3,23,9/16/1989,active,9187,false,3648610202,,24,,,true
9824471660,Reinhard,Brewer,Jobe,Junior,2017,ljobey@nature.com,512-613-6644,014 Little Fleur Point,10,4,1/20/1991,deferred,8492,true,2447049767,,7,,,false
9056835655,Paulie,,Siddens,Sophomore,2003,esiddensz@webmd.com,699-999-2603,786 Holy Cross Drive,7,20,8/20/1993,transfered,3382,false,,,7,,,false
